,first,second
0,1.0,1.0
1,2.0,1.0
2,3.0,1.0
3,4.0,1.0
4,5.0,1.0
5,6.0,1.0
6,7.0,1.0
7,8.0,1.0
8,9.0,1.0
9,10.0,1.0
10,11.0,1.0
11,1.0,1.1
12,2.0,1.1
13,3.0,1.1
14,4.0,1.1
15,5.0,1.1
16,6.0,1.1
17,7.0,1.1
18,8.0,1.1
19,9.0,1.1
20,10.0,1.1
21,11.0,1.1
22,1.0,1.2
23,2.0,1.2
24,3.0,1.2
25,4.0,1.2
26,5.0,1.2
27,6.0,1.2
28,7.0,1.2
29,8.0,1.2
30,9.0,1.2
31,10.0,1.2
32,11.0,1.2
33,1.0,1.3
34,2.0,1.3
35,3.0,1.3
36,4.0,1.3
37,5.0,1.3
38,6.0,1.3
39,7.0,1.3
40,8.0,1.3
41,9.0,1.3
42,10.0,1.3
43,11.0,1.3
44,1.0,1.4
45,2.0,1.4
46,3.0,1.4
47,4.0,1.4
48,5.0,1.4
49,6.0,1.4
50,7.0,1.4
51,8.0,1.4
52,9.0,1.4
53,10.0,1.4
54,11.0,1.4
55,1.0,1.5
56,2.0,1.5
57,3.0,1.5
58,4.0,1.5
59,5.0,1.5
60,6.0,1.5
61,7.0,1.5
62,8.0,1.5
63,9.0,1.5
64,10.0,1.5
65,11.0,1.5
66,1.0,1.6
67,2.0,1.6
68,3.0,1.6
69,4.0,1.6
70,5.0,1.6
71,6.0,1.6
72,7.0,1.6
73,8.0,1.6
74,9.0,1.6
75,10.0,1.6
76,11.0,1.6
77,1.0,1.7
78,2.0,1.7
79,3.0,1.7
80,4.0,1.7
81,5.0,1.7
82,6.0,1.7
83,7.0,1.7
84,8.0,1.7
85,9.0,1.7
86,10.0,1.7
87,11.0,1.7
88,1.0,1.8
89,2.0,1.8
90,3.0,1.8
91,4.0,1.8
92,5.0,1.8
93,6.0,1.8
94,7.0,1.8
95,8.0,1.8
96,9.0,1.8
97,10.0,1.8
98,11.0,1.8
99,1.0,1.9
100,2.0,1.9
101,3.0,1.9
102,4.0,1.9
103,5.0,1.9
104,6.0,1.9
105,7.0,1.9
106,8.0,1.9
107,9.0,1.9
108,10.0,1.9
109,11.0,1.9
110,1.0,2.0
111,2.0,2.0
112,3.0,2.0
113,4.0,2.0
114,5.0,2.0
115,6.0,2.0
116,7.0,2.0
117,8.0,2.0
118,9.0,2.0
119,10.0,2.0
120,11.0,2.0
