,alpha,beta,cap,nb,dem
0,1.0,0.0,10.0,10.0,1.0
1,2.0,0.0,10.0,10.0,1.0
2,4.0,0.0,10.0,10.0,1.0
3,1.0,1.0,10.0,10.0,1.0
4,2.0,1.0,10.0,10.0,1.0
5,4.0,1.0,10.0,10.0,1.0
6,1.0,2.0,10.0,10.0,1.0
7,2.0,2.0,10.0,10.0,1.0
8,4.0,2.0,10.0,10.0,1.0
9,1.0,0.0,5.0,10.0,1.0
10,2.0,0.0,5.0,10.0,1.0
11,4.0,0.0,5.0,10.0,1.0
12,1.0,1.0,5.0,10.0,1.0
13,2.0,1.0,5.0,10.0,1.0
14,4.0,1.0,5.0,10.0,1.0
15,1.0,2.0,5.0,10.0,1.0
16,2.0,2.0,5.0,10.0,1.0
17,4.0,2.0,5.0,10.0,1.0
18,1.0,0.0,20.0,10.0,1.0
19,2.0,0.0,20.0,10.0,1.0
20,4.0,0.0,20.0,10.0,1.0
21,1.0,1.0,20.0,10.0,1.0
22,2.0,1.0,20.0,10.0,1.0
23,4.0,1.0,20.0,10.0,1.0
24,1.0,2.0,20.0,10.0,1.0
25,2.0,2.0,20.0,10.0,1.0
26,4.0,2.0,20.0,10.0,1.0
27,1.0,0.0,10.0,20.0,1.0
28,2.0,0.0,10.0,20.0,1.0
29,4.0,0.0,10.0,20.0,1.0
30,1.0,1.0,10.0,20.0,1.0
31,2.0,1.0,10.0,20.0,1.0
32,4.0,1.0,10.0,20.0,1.0
33,1.0,2.0,10.0,20.0,1.0
34,2.0,2.0,10.0,20.0,1.0
35,4.0,2.0,10.0,20.0,1.0
36,1.0,0.0,5.0,20.0,1.0
37,2.0,0.0,5.0,20.0,1.0
38,4.0,0.0,5.0,20.0,1.0
39,1.0,1.0,5.0,20.0,1.0
40,2.0,1.0,5.0,20.0,1.0
41,4.0,1.0,5.0,20.0,1.0
42,1.0,2.0,5.0,20.0,1.0
43,2.0,2.0,5.0,20.0,1.0
44,4.0,2.0,5.0,20.0,1.0
45,1.0,0.0,20.0,20.0,1.0
46,2.0,0.0,20.0,20.0,1.0
47,4.0,0.0,20.0,20.0,1.0
48,1.0,1.0,20.0,20.0,1.0
49,2.0,1.0,20.0,20.0,1.0
50,4.0,1.0,20.0,20.0,1.0
51,1.0,2.0,20.0,20.0,1.0
52,2.0,2.0,20.0,20.0,1.0
53,4.0,2.0,20.0,20.0,1.0
54,1.0,0.0,10.0,5.0,1.0
55,2.0,0.0,10.0,5.0,1.0
56,4.0,0.0,10.0,5.0,1.0
57,1.0,1.0,10.0,5.0,1.0
58,2.0,1.0,10.0,5.0,1.0
59,4.0,1.0,10.0,5.0,1.0
60,1.0,2.0,10.0,5.0,1.0
61,2.0,2.0,10.0,5.0,1.0
62,4.0,2.0,10.0,5.0,1.0
63,1.0,0.0,5.0,5.0,1.0
64,2.0,0.0,5.0,5.0,1.0
65,4.0,0.0,5.0,5.0,1.0
66,1.0,1.0,5.0,5.0,1.0
67,2.0,1.0,5.0,5.0,1.0
68,4.0,1.0,5.0,5.0,1.0
69,1.0,2.0,5.0,5.0,1.0
70,2.0,2.0,5.0,5.0,1.0
71,4.0,2.0,5.0,5.0,1.0
72,1.0,0.0,20.0,5.0,1.0
73,2.0,0.0,20.0,5.0,1.0
74,4.0,0.0,20.0,5.0,1.0
75,1.0,1.0,20.0,5.0,1.0
76,2.0,1.0,20.0,5.0,1.0
77,4.0,1.0,20.0,5.0,1.0
78,1.0,2.0,20.0,5.0,1.0
79,2.0,2.0,20.0,5.0,1.0
80,4.0,2.0,20.0,5.0,1.0
81,1.0,0.0,10.0,10.0,2.0
82,2.0,0.0,10.0,10.0,2.0
83,4.0,0.0,10.0,10.0,2.0
